지점,지점명,일시,평균기온(°C),평균 상대습도(%)
133,대전,2022-08-19,26.4,79.6
133,대전,2022-08-20,27,82.3
133,대전,2022-08-21,27.5,72.3
133,대전,2022-08-22,27.3,73
133,대전,2022-08-23,23.8,89.9
133,대전,2022-08-24,22.7,77.9
133,대전,2022-08-25,22.3,79.4
133,대전,2022-08-26,22.9,70.6
133,대전,2022-08-27,21.6,62.4
133,대전,2022-08-28,22.1,60.8
133,대전,2022-08-29,19.6,79.3
133,대전,2022-08-30,19.1,92.9
133,대전,2022-08-31,21,90.3
133,대전,2022-09-01,22.4,80.1
133,대전,2022-09-02,22.6,72
133,대전,2022-09-03,23.4,70.3
133,대전,2022-09-04,24.5,78.9
133,대전,2022-09-05,22.6,93.4
133,대전,2022-09-06,20.2,79.8
133,대전,2022-09-07,20.9,66
133,대전,2022-09-08,22,66.3
143,대구,2022-06-21,27.8,72.6
143,대구,2022-06-22,29.9,65
143,대구,2022-06-23,27.9,72.8
143,대구,2022-06-24,28.1,70
143,대구,2022-06-25,28.2,67
143,대구,2022-06-26,28.4,72.1
143,대구,2022-06-27,27.3,86.3
143,대구,2022-06-28,28.9,71.3
143,대구,2022-06-29,29.5,68.5
143,대구,2022-06-30,29.8,68
143,대구,2022-07-01,29.8,68.6
143,대구,2022-07-02,29.9,63.9
143,대구,2022-07-03,29.3,69.6
143,대구,2022-07-04,28.8,72.5
143,대구,2022-07-05,28.8,72.1
143,대구,2022-07-06,28.5,81.4
143,대구,2022-07-07,29.7,74.3
143,대구,2022-07-08,28.5,84.6
143,대구,2022-07-09,28.7,71.3
143,대구,2022-07-10,28.1,76.5
143,대구,2022-07-11,26.4,86.6
143,대구,2022-07-12,25.6,75.3
143,대구,2022-07-13,24.4,85.6
143,대구,2022-07-14,28.2,77.5
143,대구,2022-07-15,28.3,64.5
143,대구,2022-07-16,26.8,71
143,대구,2022-07-17,27.3,68.6
143,대구,2022-07-18,22.9,95.6
143,대구,2022-07-19,27.6,74.4
143,대구,2022-07-20,29.4,62.5
143,대구,2022-07-21,26,80.9
143,대구,2022-07-22,25.8,71.6
143,대구,2022-07-23,24.9,82
143,대구,2022-07-24,27.4,77.6
143,대구,2022-07-25,28.8,72.6
143,대구,2022-07-26,26.9,79.4
143,대구,2022-07-27,25.6,79.5
143,대구,2022-07-28,26.2,85.5
143,대구,2022-07-29,28.7,77.8
143,대구,2022-07-30,27.8,83.9
143,대구,2022-07-31,27.1,92
143,대구,2022-08-01,29.4,76.6
143,대구,2022-08-02,27.9,91.8
143,대구,2022-08-03,30.6,78.8
143,대구,2022-08-04,30.7,75.9
143,대구,2022-08-05,30.8,75
143,대구,2022-08-06,31.6,72
143,대구,2022-08-07,31.5,71.9
143,대구,2022-08-08,30.5,69.8
143,대구,2022-08-09,29.8,69.8
143,대구,2022-08-10,28.2,80.1
143,대구,2022-08-11,26.5,90.9
143,대구,2022-08-12,29.7,77.1
143,대구,2022-08-13,26.4,92.4
143,대구,2022-08-14,29.8,80.1
143,대구,2022-08-15,30.9,69.6
143,대구,2022-08-16,25.7,94.9
143,대구,2022-08-17,25.7,89.4
143,대구,2022-08-18,26.8,77.3
143,대구,2022-08-19,28.2,80.5
143,대구,2022-08-20,26.4,95.1
143,대구,2022-08-21,26,75.3
143,대구,2022-08-22,26.8,75.6
143,대구,2022-08-23,25.4,89.9
143,대구,2022-08-24,21.5,94.4
143,대구,2022-08-25,24.5,78.6
143,대구,2022-08-26,25.1,64.6
143,대구,2022-08-27,23.2,68
143,대구,2022-08-28,21.4,72.1
143,대구,2022-08-29,21.5,81.4
143,대구,2022-08-30,20.9,92.3
143,대구,2022-08-31,21.3,95.6
143,대구,2022-09-01,21.6,88.4
143,대구,2022-09-02,21.5,91.1
143,대구,2022-09-03,22.2,91.9
143,대구,2022-09-04,25.4,89.5
143,대구,2022-09-05,24.9,96
143,대구,2022-09-06,22.6,81
143,대구,2022-09-07,22.4,69.1
143,대구,2022-09-08,21.7,73
152,울산,2022-06-21,24.7,85.1
152,울산,2022-06-22,25.6,79.1
152,울산,2022-06-23,26.2,79.3
152,울산,2022-06-24,25.7,81.8
152,울산,2022-06-25,26,75.3
152,울산,2022-06-26,27.2,74.8
152,울산,2022-06-27,25.2,93
152,울산,2022-06-28,27.2,79.1
152,울산,2022-06-29,26.8,82.8
152,울산,2022-06-30,27.9,73
152,울산,2022-07-01,27.4,74.4
152,울산,2022-07-02,28,65.4
152,울산,2022-07-03,27.5,75
152,울산,2022-07-04,27.2,79.1
152,울산,2022-07-05,26.1,84.8
152,울산,2022-07-06,26.7,87
152,울산,2022-07-07,28.6,79.4
152,울산,2022-07-08,28.4,79.5
152,울산,2022-07-09,27.1,77.1
152,울산,2022-07-10,25.7,83.9
152,울산,2022-07-11,24.9,92.1
152,울산,2022-07-12,23.7,81.4
152,울산,2022-07-13,23.4,88.8
152,울산,2022-07-14,26.4,84.5
152,울산,2022-07-15,26.5,78
152,울산,2022-07-16,25.5,81.3
152,울산,2022-07-17,25.8,78.8
152,울산,2022-07-18,22.4,95
152,울산,2022-07-19,25.2,86.3
152,울산,2022-07-20,27.5,73.4
152,울산,2022-07-21,26.4,79.9
152,울산,2022-07-22,24.1,81.3
152,울산,2022-07-23,23.9,86.1
152,울산,2022-07-24,26.1,86.6
152,울산,2022-07-25,25,89.6
152,울산,2022-07-26,24.6,86.6
152,울산,2022-07-27,24.8,84.3
152,울산,2022-07-28,25.2,93.6
152,울산,2022-07-29,26.8,86
152,울산,2022-07-30,27.4,82.6
152,울산,2022-07-31,26.9,90.6
152,울산,2022-08-01,28.4,83.1
152,울산,2022-08-02,28.4,82.6
152,울산,2022-08-03,29.4,76.8
152,울산,2022-08-04,30,71.6
152,울산,2022-08-05,29.8,74.8
152,울산,2022-08-06,30.3,74.5
152,울산,2022-08-07,30.7,73.8
152,울산,2022-08-08,29.7,68
152,울산,2022-08-09,29.1,69.1
152,울산,2022-08-10,28.7,71.4
152,울산,2022-08-11,27.5,80.8
152,울산,2022-08-12,28.6,82.1
152,울산,2022-08-13,26.7,90.6
152,울산,2022-08-14,29.1,79
152,울산,2022-08-15,30.2,65
152,울산,2022-08-16,26,89.4
152,울산,2022-08-17,23.9,93.3
152,울산,2022-08-18,24.4,84.8
152,울산,2022-08-19,27.3,76.1
152,울산,2022-08-20,26,89.4
152,울산,2022-08-21,24.6,74.3
152,울산,2022-08-22,24.7,71.9
152,울산,2022-08-23,25.5,83
152,울산,2022-08-24,21.7,88.6
152,울산,2022-08-25,24.1,78.6
152,울산,2022-08-26,23.8,66.8
152,울산,2022-08-27,22.5,66.8
152,울산,2022-08-28,21.3,66.1
152,울산,2022-08-29,22.5,79.1
152,울산,2022-08-30,21.2,93
152,울산,2022-08-31,21,94.8
152,울산,2022-09-01,21.8,86.1
152,울산,2022-09-02,21.2,95.1
152,울산,2022-09-03,21.9,96.9
152,울산,2022-09-04,24.9,92.6
152,울산,2022-09-05,25.8,92.9
152,울산,2022-09-06,23.9,73
152,울산,2022-09-07,21.5,61.8
152,울산,2022-09-08,21.3,69.8
156,광주,2022-06-21,26.7,85.5
156,광주,2022-06-22,27,80
156,광주,2022-06-23,25.5,96
156,광주,2022-06-24,24.6,95.1
156,광주,2022-06-25,26.5,91.3
156,광주,2022-06-26,27.3,91.4
156,광주,2022-06-27,27.3,92.6
156,광주,2022-06-28,27.7,87
156,광주,2022-06-29,26.5,98.1
156,광주,2022-06-30,27.1,93.4
156,광주,2022-07-01,28.2,76.5
156,광주,2022-07-02,28.5,76.6
156,광주,2022-07-03,28.9,74.5
156,광주,2022-07-04,27.2,91
156,광주,2022-07-05,27.4,93.1
156,광주,2022-07-06,29.1,84
156,광주,2022-07-07,28.8,88.1
156,광주,2022-07-08,26.6,96.5
156,광주,2022-07-09,27,88.1
156,광주,2022-07-10,28.2,85.5
156,광주,2022-07-11,27.1,92.5
156,광주,2022-07-12,27.4,91
156,광주,2022-07-13,26,92.6
156,광주,2022-07-14,27.3,88.9
156,광주,2022-07-15,27,79.6
156,광주,2022-07-16,26.5,80.4
156,광주,2022-07-17,26.4,93.6
156,광주,2022-07-18,23.7,99
156,광주,2022-07-19,26.2,88
156,광주,2022-07-20,27.2,81.6
156,광주,2022-07-21,24.6,96
156,광주,2022-07-22,25.1,88.1
156,광주,2022-07-23,25.1,90.6
156,광주,2022-07-24,23.9,99
156,광주,2022-07-25,26.7,88.6
156,광주,2022-07-26,27.3,86.6
156,광주,2022-07-27,27.3,80
156,광주,2022-07-28,28.5,79.3
156,광주,2022-07-29,30.3,76.1
156,광주,2022-07-30,28.5,84.1
156,광주,2022-07-31,26.4,97.8
156,광주,2022-08-01,27.6,98.4
156,광주,2022-08-02,28,95.3
156,광주,2022-08-03,27.9,97.3
156,광주,2022-08-04,29,90.6
156,광주,2022-08-05,29,93.3
156,광주,2022-08-06,29.9,91.4
156,광주,2022-08-07,29.9,89
156,광주,2022-08-08,28.8,90.9
156,광주,2022-08-09,28.7,91.1
156,광주,2022-08-10,28.3,93.5
156,광주,2022-08-11,26.3,99
156,광주,2022-08-12,27.9,91.1
156,광주,2022-08-13,27.9,95.6
156,광주,2022-08-14,29.4,89.1
156,광주,2022-08-15,29.4,89.6
156,광주,2022-08-16,26.5,98.9
156,광주,2022-08-17,26,94
156,광주,2022-08-18,26.1,83
156,광주,2022-08-19,27.4,92.9
156,광주,2022-08-20,26.6,98.4
156,광주,2022-08-21,27.4,90.4
156,광주,2022-08-22,28,81
156,광주,2022-08-23,26.5,97.5
156,광주,2022-08-24,25.7,89.3
156,광주,2022-08-25,24.9,77.8
156,광주,2022-08-26,24.5,71.3
156,광주,2022-08-27,22.8,75.5
156,광주,2022-08-28,22.9,67
156,광주,2022-08-29,21.7,88.4
156,광주,2022-08-30,24.8,96.5
156,광주,2022-08-31,23,92.9
156,광주,2022-09-01,22.6,94.1
156,광주,2022-09-02,23.1,88.3
156,광주,2022-09-03,24.9,86.8
156,광주,2022-09-04,26.5,89.4
156,광주,2022-09-05,24,99
156,광주,2022-09-06,21.5,89.8
156,광주,2022-09-07,22.2,77.6
156,광주,2022-09-08,23,73.9
159,부산,2022-06-21,25,86.9
159,부산,2022-06-22,24.7,84.4
159,부산,2022-06-23,23.2,97.4
159,부산,2022-06-24,22.9,96.5
159,부산,2022-06-25,23.2,93
159,부산,2022-06-26,24,96.9
159,부산,2022-06-27,23.6,100
159,부산,2022-06-28,23.7,99.5
159,부산,2022-06-29,24.1,98.9
159,부산,2022-06-30,25.5,91.6
159,부산,2022-07-01,25.9,85
159,부산,2022-07-02,27.4,69.6
159,부산,2022-07-03,27.5,78.9
159,부산,2022-07-04,27.4,80.4
159,부산,2022-07-05,26.4,85.9
159,부산,2022-07-06,27,89.8
159,부산,2022-07-07,27.5,91.5
159,부산,2022-07-08,26.7,90.9
159,부산,2022-07-09,27.6,79.1
159,부산,2022-07-10,26.4,85.6
159,부산,2022-07-11,24.8,92.3
159,부산,2022-07-12,25.1,80
159,부산,2022-07-13,24.5,84.6
159,부산,2022-07-14,26.8,85.3
159,부산,2022-07-15,25.7,86.8
159,부산,2022-07-16,26,81.4
159,부산,2022-07-17,26.3,75.6
159,부산,2022-07-18,22.8,95.8
159,부산,2022-07-19,24.7,91.3
159,부산,2022-07-20,26,79.5
159,부산,2022-07-21,26.3,79
159,부산,2022-07-22,25.1,76.6
159,부산,2022-07-23,24.6,84.8
159,부산,2022-07-24,25.1,89.8
159,부산,2022-07-25,25.2,89.9
159,부산,2022-07-26,25.7,83.4
159,부산,2022-07-27,26.2,77.3
159,부산,2022-07-28,26.6,87.3
159,부산,2022-07-29,28.5,77.9
159,부산,2022-07-30,28.1,77.8
159,부산,2022-07-31,27.1,89.5
159,부산,2022-08-01,27.5,87.4
159,부산,2022-08-02,27.1,93.4
159,부산,2022-08-03,27.7,88.1
159,부산,2022-08-04,28.7,83.1
159,부산,2022-08-05,29,81.6
159,부산,2022-08-06,29.2,82.8
159,부산,2022-08-07,29,84.4
159,부산,2022-08-08,28.9,80
159,부산,2022-08-09,28.6,78.4
159,부산,2022-08-10,28.1,81.1
159,부산,2022-08-11,27.4,84.8
159,부산,2022-08-12,28.1,85.3
159,부산,2022-08-13,27.2,87.5
159,부산,2022-08-14,28.3,80.4
159,부산,2022-08-15,29,78.5
159,부산,2022-08-16,26.1,90.4
159,부산,2022-08-17,22.9,94.6
159,부산,2022-08-18,24.8,85.3
159,부산,2022-08-19,26.6,82.4
159,부산,2022-08-20,25.6,94.3
159,부산,2022-08-21,26,70.5
159,부산,2022-08-22,25.7,59.6
159,부산,2022-08-23,26.8,71.9
159,부산,2022-08-24,22.2,88.5
159,부산,2022-08-25,24.5,75.6
159,부산,2022-08-26,25,67.4
159,부산,2022-08-27,24.6,63.8
159,부산,2022-08-28,23,63.4
159,부산,2022-08-29,24.3,73
159,부산,2022-08-30,24,86.8
159,부산,2022-08-31,22.6,93.4
159,부산,2022-09-01,21.9,86.5
159,부산,2022-09-02,20.9,96.9
159,부산,2022-09-03,22.7,97.1
159,부산,2022-09-04,25.8,91.9
159,부산,2022-09-05,26.2,92.6
159,부산,2022-09-06,24.5,75.1
159,부산,2022-09-07,23.3,60.3
159,부산,2022-09-08,22.7,65.8
