번호,시설명,주소
156,글로리지역아동센터,"대구광역시 북구 매전로 50-39, 1층 (태전동)"
157,울산광역시 가정위탁지원센터,"울산광역시 남구 중앙로 216, 4층 (신정동, 안강빌딩)"
158,다온지역아동센터,"경상북도 칠곡군 석적읍 장곡길 173, 2층"
159,금당실지역아동센터,경상북도 예천군 용문면 금당실길 51-16
160,보듬지역아동센터,"강원도 춘천시 동내면 외솔길 49-11, 1층"
161,모모네,"경상남도 사천시 정동면 신월1길 51, 2층"
162,늘푸른지역아동센터,"인천광역시 서구 가정로126번길 29, 3층 (가좌동)"
163,앤하우스 그룹홈,"경기도 고양시 일산동구 산두로261번길 42, 1층 (정발산동)"
164,일곱빛쉼터,"부산광역시 사하구 승학로233번길 50, 1동동 1309호호 (괴정동, 괴정자유2차아파트)"
165,느티나무지역아동센터,광주광역시 서구 죽봉대로119번길 28-13 (광천동)
166,열린지역아동센터,"서울특별시 중랑구 망우로67가길 11, 2층 (망우동)"
167,산솔지역아동센터,"강원도 영월군 중동면 태백산로 1199-1, 1층"
168,느티나무지역아동센터,경상남도 거창군 거창읍 거함대로4길 53 (1층)
169,꿈자람지역아동센터,"충청남도 천안시 서북구 오성3길 12-3, 3층층 (두정동)"
170,로뎀지역아동센터,"광주광역시 광산구 월곡산정로 96-21, 206동 2층 204호 (월곡동, 한성 2차 아파트)"
171,진새골그룹홈,경기도 광주시 초월읍 진새골길 171-15 (실로암 1층)
172,건천해솔지역아동센터,경상북도 경주시 건천읍 작원5길 26
173,LH행복꿈터용해지역아동센터,"전라남도 목포시 용해지구로88번길 24, 주민복지관1동 2층층 (용해동, 포미타운엘에이치4단지아파트)"
174,두암지역아동센터,광주광역시 북구 군왕로129번길 32 (두암동)
175,고덕지역아동센터,충청남도 예산군 고덕면 대천2길 9
176,일동지역아동센터,"광주광역시 북구 일곡택지로53번길 24, 2층 (일곡동)"
177,안정지역아동센터,"경상남도 통영시 광도면 안정1길 53, 103동 1층 104호 (통영현대성우오스타1단지)"
178,구세군영월지역아동센터,"강원도 영월군 영월읍 오무개길 1, 14-1호"
179,사랑뜰,충청남도 부여군 부여읍 성왕로328번길 18-7
180,푸르미지역아동센터,"강원도 영월군 북면 봉래산로 987-1, 2층"
181,카리타스 지역아동센터,"인천광역시 부평구 주부토로 206, 2층 (갈산동, 갈산종합사회복지관)"
182,한가족그룹홈,충청북도 단양군 매포읍 삼곡길 234
183,한울지역아동센터,"충청남도 공주시 산성2길 19, 1층 (산성동, 한울지역아동센터)"
184,레인보우지역아동센터,경상북도 경주시 안강읍 구부랑길 54-4
185,땡큐지역아동센터,"경기도 평택시 송탄공원로 145, 4층 402호 (지산동, 미주2차APT 상가층)"
186,내외지역아동센터,경상남도 김해시 우암로85번길 10-1 (내동)
187,요셉의집,경기도 안성시 양성면 미리내성지로 342-25
188,해밀지역아동센터,"서울특별시 송파구 문정로 259, 401호 (오금동)"
189,LH행복꿈터 춘천YMCA장학지역아동센터,"강원도 춘천시 동면 소양강로 100, 106동 2층 (춘천장학엘에이치1단지)"
190,푸른지역아동센터,"경기도 안산시 단원구 지곡로2길 10, 2층 201호 (선부동)"
191,제일지역아동센터,충청북도 단양군 단양읍 군청로 18
192,Happy홈스쿨지역아동센터,경기도 용인시 기흥구 동백1로23번길 16 (중동)
193,우리들지역아동센터,"울산광역시 북구 상방로 143, 4층 (연암동)"
194,행복한 집,"경기도 안성시 고수2로 28, 101동 1304호 (당왕동, 태영아파트)"
195,하나복지지역아동센터,"서울특별시 서초구 방배천로18길 20, 4층 (방배동)"
196,구립함께하는지역아동센터,"서울특별시 강동구 구천면로 656, 4층 (상일동)"
197,이솝지역아동센터,경상남도 통영시 안개5길 29-5 (무전동)
198,씨앗지역아동센터,"서울특별시 중랑구 겸재로 193, 2층 (면목동)"
199,충북지역아동센터,충청북도 충주시 남산로 10 (지현동)
200,경기가정위탁지원센터,"경기도 수원시 영통구 영통로214번길 9 (영통동, 서린프라자 7층)"
201,봄 언덕,"충청남도 태안군 원북면 옥파로 16, 2층"
202,조은지역아동센터,"부산광역시 북구 시랑로 72, 3층 (구포동)"
203,푸른지역아동센터,부산광역시 동래구 반송로 215 (안락동)
204,자산지역아동센터,"경상남도 창원시 마산합포구 자산북3길 18-17 (자산동, 한백3차아파트 상가201호, 202호)"
205,옥포지역아동센터,"대구광역시 달성군 옥포면 돌미로 70, 415동 201호 (옥포대성베르힐4단지)"
206,사랑으로지역아동센터,"경기도 남양주시 화도읍 경춘로 2326-45, 1층"
207,LH행복꿈터 현동지역아동센터,"경상남도 창원시 마산합포구 현동3길 1, 107동 1층 (우산동, LH아파트)"
208,참 소중한 집,충청남도 당진시 합덕읍 버그내1길 193-11
209,참사랑지역아동센터,"광주광역시 서구 화운로176번길 3-1, 2층 (화정동)"
210,희망주는지역아동센터,부산 사하구 동매로 161
211,혜인지역아동센터,경상남도 밀양시 시청로 45 (내이동)
212,남동지역아동센터,"인천광역시 남동구 석산로 194, 2층 (간석동)"
213,사랑마을 지역아동센터,"경기도 파주시 하우고개길 207, 2층 (야당동)"
214,일곡중앙지역아동센터,"광주광역시 북구 일곡로49번길 35-1, 2층 (일곡동)"
215,통리지역아동센터,강원도 태백시 통리길 67-1 (통동)
216,예꿈,"충청남도 태안군 태안읍 군청11길 15, 2층"
217,죽곡지역아동센터,"대구광역시 달성군 다사읍 대실역북로2길 113, 1층"
218,갈릴리 지역아동센터,전라남도 여수시 돌산읍 계동해안길 70
219,코비그룹홈,전라북도 김제시 요촌동1길 31 (요촌동)
220,구세군 꿈을심는 지역아동센터,충청남도 금산군 추부면 하마전로 33
221,예빛그룹홈,대구광역시 수성구 지범로31길 11-8 (지산동)
222,큰샘원 지역아동센터,경상남도 창원시 마산회원구 내서읍 중리상곡로 60-1
223,한우리지역아동센터,인천광역시 부평구 영성로 38 (삼산동)
224,평강지역아동센터,부산광역시 부산진구 중앙대로 978 (양정동)
225,병영 지역아동센터,전라남도 강진군 병영면 은행나무길 19
226,신상도지역아동센터,서울특별시 동작구 양녕로20길 108 (상도동)
227,광동지역아동센터,서울특별시 관악구 행운2길 31 (봉천동)
228,해뜨는집,충청북도 청주시 흥덕구 오송읍 호계길 25
229,대정골지역아동센터,제주특별자치도 서귀포시 대정읍 추사로 10-1
230,푸른하늘지역아동센터,"충청남도 천안시 동남구 목천읍 삼성5길 46, 2층층 206호 (원앙마을 부영아파트 상가동)"
231,엘리트 지역아동센터,경상북도 칠곡군 왜관읍 평장4길 22
232,도담지역아동센터,전라북도 전주시 완산구 소태정5길 9-6 (효자동2가)
233,꿈샘지역아동센터,"부산광역시 해운대구 우동2로 71 (우동, 2층)"
234,세계비전 지역아동센터,"부산광역시 연제구 아시아드대로 24, 4층 (거제동, 삼도빌딩)"
235,남해로뎀지역아동센터,경상남도 남해군 설천면 창남로81번길 34
236,백호지역아동센터,전라남도 해남군 해남읍 서림길 14
237,참사랑지역아동센터,전라북도 무주군 무주읍 죽향로 29
238,그린지역아동센터,전라북도 정읍시 학산로 84 (상동)
239,검단지역아동센터,"인천광역시 서구 검단로 609, 302호 (마전동, 다승프라자)"
240,대한성공회행복한우리집,서울특별시 관악구 국회단지길 67 (봉천동)
241,진원지역아동센터,전라남도 장성군 진원면 산정길 3
242,희망나눔 지역아동센터,"전라북도 익산시 동서로5길 116, 3층 (신동)"
243,성모자애드림힐,서울특별시 노원구 덕릉로70가길 45 (상계동)
244,나래지역아동센터,"서울특별시 강동구 양재대로126길 54, 3층층 (길동)"
245,좋은이웃쉼터,"강원도 원주시 판부면 시청로 264, 103동 1층 103호 (원주 더샾아파트)"
246,보리지역아동센터,"경상북도 경주시 원화로 442, 4층 (용강동)"
247,경기부천아동보호전문기관,"경기도 부천시 길주로 319 (중동, 골든타워 302호)"
248,살레시오여월동나눔의집,경기도 부천시 성곡로57번길 12 (여월동)
249,용담지역아동센터,제주특별자치도 제주시 용담로20길 17 (용담일동)
250,새희망 지역아동센터,경기도 광명시 하안로287번길 11 (하안동)
251,우도지역아동센터,제주특별자치도 제주시 우도면 우도로 201
252,열방지역아동센터,"대전광역시 서구 도솔로 240-1, 2층 (내동)"
253,덕산지역아동센터,경상남도 창원시 의창구 동읍 용잠로 40
254,발음지역아동센터,서울특별시 강서구 강서로47다길 41 (내발산동)
255,무등지역아동센터,광주광역시 남구 군분로 32 (월산동)
256,죽항지역아동센터,전라북도 남원시 옥정1길 16 (동충동)
257,꿈꾸는 세상 지역아동센터,전라북도 군산시 칠성1길 25 (산북동)
258,동래 튼튼이 지역아동센터,부산광역시 동래구 중앙대로1333번길 46-1 (온천동)
259,동민영아원,전라남도 목포시 용당로284번길 21 (용해동)
260,새하늘지역아동센터,전라남도 해남군 현산면 현산북평로 82
261,은혜지역아동센터,"서울특별시 구로구 고척로52길 9 (고척동, 은혜지역아동센터)"
262,세움지역아동센터,"경기도 안성시 공도읍 기업단지로 72, 다동 201호"
263,하늘꿈이자라는집 지역아동센터,"충청남도 천안시 서북구 공대길 24, 2층, 3층 (신당동)"
264,동암지역아동센터,광주광역시 북구 동운로201번길 39 (운암동)
265,동원주지역아동센터,강원도 원주시 현석길 52 (봉산동)
266,율곡지역아동센터,광주광역시 북구 면앙로192번길 18-3 (두암동)
267,합천애육원,경상남도 합천군 합천읍 중앙로 33-2
268,드림지역아동센터,전라북도 정읍시 충정로 188-6 (장명동)
269,예솔 지역아동센터,전라북도 진안군 백운면 임진로 1306-6
270,새마음 지역아동센터,대전광역시 중구 대둔산로 449 (산성동)
271,임회지역아동센터,전라남도 진도군 임회면 석교길 47-13
272,북면지역아동센터,충청남도 천안시 동남구 북면 위례성로 661-16
273,대정지역아동센터,제주특별자치도 서귀포시 대정읍 동일하모로 200
274,연제지역아동센터,광주광역시 북구 하서로 277 (양산동)
275,온누리,경기도 수원시 장안구 만석로 205 (송죽동)
276,압해드림지역아동센터,전라남도 신안군 압해읍 복룡로 13
277,한살림서울생협광명지역아동센터,경기도 광명시 시청로 71-1 (철산동)
278,꿈동산지역아동센터,"인천광역시 미추홀구 독배로382번길 10, 2층 (용현동)"
279,행복무지개공부방지역아동센터,"서울특별시 마포구 성미산로10길 36, 2층 (서교동)"
280,중앙지역아동센터,서울특별시 종로구 충신길 22 (종로6가)
281,오목천,"경기도 수원시 권선구 오목천로 15, 301호 (오목천동, 상송주공아파트 상가동)"
282,해오름지역아동센터,부산광역시 북구 시랑로 122 (구포동)
283,조은지역아동센터,광주광역시 북구 군왕로 123 (두암동)
284,암사지역아동센터,서울특별시 강동구 고덕로27길 28 (암사동)
285,아가페선교타운,경상북도 영천시 화산면 신화로 727
286,(사)청소년문화공동체부설 지역아동센터,전라남도 목포시 하당로 88 (상동)
287,윈바신갈지역아동센터,경기도 용인시 기흥구 신갈로68번길 21 (신갈동)
288,산북예손지역아동센터,"경기도 양주시 평화로1267번길 97, 1층 (산북동)"
289,아가페지역아동센터,경기도 시흥시 신천4길 7 (신천동)
290,갈릴리지역아동센터,"경기도 군포시 금산로 18-1, 3층 (금정동)"
291,신망원,경기도 양평군 양서면 신원리 산 53번지
292,소망열린지역아동센터,경상북도 구미시 여헌로 32-27 (인의동)
293,오계지역아동센터,전라남도 나주시 남평읍 다남로 417-1
294,서천지역아동센터,충청남도 서천군 서천읍 사곡길38번길 3
295,우리지역아동센터,"전라북도 남원시 용성로 207 (도통동, 부영1차 상가동 305호)"
296,구룡포 지역아동센터,경상북도 포항시 남구 구룡포읍 구룡포길65번길 8-2
297,봉계지역아동센터,경상북도 김천시 봉산면 예지1길 127
298,꿈이야기지역아동센터,전라남도 영암군 신북면 간은정로 18-17
299,행복한홈스쿨지역아동센터,경상북도 영주시 지천로 127 (가흥동)
300,시영지역아동센터,전라북도 전주시 덕진구 두간9길 8 (송천동1가)
301,글로벌지역아동센터,"광주광역시 광산구 첨단내촌로36번길 26, 201호 (월계동)"
302,보물섬지역아동센터,"서울특별시 은평구 갈현로15길 46, 102호 (구산동, 명남아파트)"
303,선 지역아동센터,"광주광역시 동구 소태길 22-3, 2층 (소태동)"
304,연무대지역아동센터,충청남도 논산시 연무읍 안심로61번길 31-2
305,꿈사랑지역아동센터,경기도 부천시 역곡로 398 (작동)
306,나운지역아동센터,전라북도 군산시 문화로 36 (나운동)
307,은혜지역아동센터,광주광역시 광산구 송도로162번길 10-15 (도산동)
308,삼척꽃망울지역아동센터,강원도 삼척시 척주로 131 (정상동)
309,산내지역아동센터,경상북도 경주시 산내면 의곡중앙길 29-14
310,예산지역아동센터,충청남도 예산군 예산읍 창말로42번길 16
311,마산한울타리,"경상남도 창원시 마산합포구 월영남로 59, 106동 1603호 (월영동, 동아아파트)"
312,탑리지역아동센터,경상북도 의성군 금성면 탑리길 60
313,희망누리 지역아동센터,"전라남도 목포시 관해로 28 (용해동, 관해마을회관 2층)"
314,정금지역아동센터,대전광역시 서구 괴정로 71 (괴정동)
315,솔로몬지역아동센터,서울특별시 영등포구 양평로30가길 19 (양평동6가)
316,서강지역아동센터,전라북도 익산시 부송로14길 38 (부송동)
317,늘푸른행복한홈스쿨,경기도 남양주시 진건읍 사릉로446번길 21
318,희망지역아동센터,강원도 철원군 동송읍 태봉로 2349
319,배들지역아동센터,전라남도 순천시 서면 배들이길 32
320,꿈나래지역아동센터,"충청남도 천안시 동남구 봉서11길 16, 2층 (봉명동)"
321,세계로지역아동센터,전라남도 무안군 삼향읍 삼향중앙로 113
322,주례지역아동센터,부산광역시 사상구 가야대로366번길 63-6 (주례동)
323,1318희망지기지역아동센터,"광주광역시 북구 향토문화로 26, 2층 (중흥동)"
324,한빛지역아동센터,충청남도 홍성군 홍성읍 조양로75번길 17
325,성가지역아동센터,부산광역시 금정구 삼차로 69 (서동)
326,경희지역아동센터,충청북도 청주시 상당구 원봉로 68-1 (용암동)
327,한일지역아동센터,"전라북도 군산시 상나운1길 14, 108동 109호 (나운동, 한신맨션아파트)"
328,누리마루아동복지종합센터,인천광역시 미추홀구 석정로329번길 32 (도화동)
329,거문지역아동센터,강원도 평창군 진부면 상월거문로 250-12
330,하소로지역아동센터,제주특별자치도 제주시 애월읍 하소로 681-6
